soltu_id,pgsc_id,evalue
Soltu.DM.01G003540.1,PGSC0003DMC400028676,0.0
Soltu.DM.12G008130.1,PGSC0003DMC400057159,0.0
Soltu.DM.01G016690.1,PGSC0003DMC400019951,1e-148
Soltu.DM.09G030150.1,PGSC0003DMC400036514,0.0
Soltu.DM.08G017360.1,PGSC0003DMC400025576,0.0
Soltu.DM.03G015010.1,PGSC0003DMC400026100,0.0
Soltu.DM.02G027440.1,PGSC0003DMC400037098,1e-146
Soltu.DM.01G001950.1,PGSC0003DMC400055409,0.0
Soltu.DM.06G031410.1,PGSC0003DMC400052917,0.0
Soltu.DM.09G005290.1,PGSC0003DMC400048987,0.0
Soltu.DM.12G018790.1,PGSC0003DMC400004554,3e-42
Soltu.DM.01G050830.2,PGSC0003DMC400002885,0.0
Soltu.DM.02G029700.1,,Error
Soltu.DM.06G017240.1,PGSC0003DMC400057873,1e-137
Soltu.DM.01G002500.3,PGSC0003DMC400037049,0.0
Soltu.DM.05G003990.1,PGSC0003DMC400053214,0.0
Soltu.DM.09G029100.1,PGSC0003DMC400060187,0.0
Soltu.DM.10G026650.1,PGSC0003DMC400041008,0.0
Soltu.DM.03G015370.1,PGSC0003DMC400031442,0.0
Soltu.DM.12G017420.1,,Error
Soltu.DM.02G030260.1,PGSC0003DMC400017796,0.0
Soltu.DM.08G024390.3,PGSC0003DMC400044511,1e-164
Soltu.DM.05G001570.1,PGSC0003DMC400034134,0.0
Soltu.DM.06G022340.1,PGSC0003DMC400008626,0.0
Soltu.DM.09G018750.2,PGSC0003DMC400017200,0.0
Soltu.DM.01G038980.3,PGSC0003DMC400042736,0.0
Soltu.DM.07G027850.1,,Error
Soltu.DM.02G019400.2,PGSC0003DMC400037641,0.0
Soltu.DM.06G023810.1,PGSC0003DMC400049703,0.0
Soltu.DM.10G028370.1,PGSC0003DMC400014383,0.0
Soltu.DM.01G005760.1,PGSC0003DMC400039351,3e-43
Soltu.DM.01G031400.1,PGSC0003DMC400045152,0.0
Soltu.DM.11G024790.1,PGSC0003DMC400005394,0.0
Soltu.DM.01G001320.1,PGSC0003DMC400055264,1e-167
Soltu.DM.06G018340.1,PGSC0003DMC400046208,0.0
Soltu.DM.01G001450.2,PGSC0003DMC400055429,0.0
Soltu.DM.02G003970.1,PGSC0003DMC400049438,2e-13
Soltu.DM.11G000670.1,PGSC0003DMC400023630,0.0
Soltu.DM.10G027520.3,PGSC0003DMC400051974,0.0
Soltu.DM.01G051670.3,PGSC0003DMC400032512,0.0
Soltu.DM.06G013440.1,PGSC0003DMC400050350,0.0
Soltu.DM.06G015160.1,PGSC0003DMC400028486 Conserved gene of unknown function,0.0
Soltu.DM.01G014790.1,PGSC0003DMC400057642,0.0
Soltu.DM.04G014420.1,PGSC0003DMC400022514,1e-146
Soltu.DM.03G016060.2,PGSC0003DMC400054033,0.0
Soltu.DM.08G019250.1,PGSC0003DMC400032961,1e-154
Soltu.DM.04G005670.1,PGSC0003DMC400055629,0.0
Soltu.DM.01G007460.1,PGSC0003DMC400010408,4e-07
