soltu_id,pgsc_id,evalue
Soltu.DM.03G020780.1,PGSC0003DMC400005705,0.0
Soltu.DM.05G008160.1,PGSC0003DMC400053971,0.0
Soltu.DM.02G010250.1,PGSC0003DMC400012230,4e-80
Soltu.DM.02G010070.1,PGSC0003DMC400002527,0.0
Soltu.DM.04G018240.1,PGSC0003DMC400065865,0.0
Soltu.DM.S001860.1,,Error
Soltu.DM.12G019100.2,,Error
Soltu.DM.10G021460.1,PGSC0003DMC400015119,0.0
Soltu.DM.08G010210.1,PGSC0003DMC400034759,1e-11
Soltu.DM.03G034450.1,PGSC0003DMC400010064,0.0
Soltu.DM.02G018380.1,PGSC0003DMC400058445,0.0
Soltu.DM.10G029540.2,PGSC0003DMC400014665,0.0
Soltu.DM.02G012330.1,PGSC0003DMC400036767,0.0
Soltu.DM.11G024110.1,PGSC0003DMC400032363,0.0
Soltu.DM.03G014110.1,,Error
Soltu.DM.06G002980.1,,Error
Soltu.DM.12G010570.3,PGSC0003DMC400054662,0.0
Soltu.DM.12G019020.1,PGSC0003DMC400067539,0.0
Soltu.DM.01G005180.1,PGSC0003DMC400018565,0.0
Soltu.DM.01G041740.1,PGSC0003DMC400031797,0.0
Soltu.DM.10G007560.1,PGSC0003DMC400007526,1e-126
Soltu.DM.11G008060.1,PGSC0003DMC400049972,0.0
Soltu.DM.02G030790.1,PGSC0003DMC400002458,0.0
Soltu.DM.05G027290.1,PGSC0003DMC400040307,0.0
Soltu.DM.08G001420.3,PGSC0003DMC400015389,0.0
Soltu.DM.S001900.1,,Error
Soltu.DM.09G005950.1,,Error
Soltu.DM.04G020240.1,,Error
Soltu.DM.03G022790.3,PGSC0003DMC400015979,0.0
Soltu.DM.10G004790.1,PGSC0003DMC400039561,0.0
Soltu.DM.04G008880.1,PGSC0003DMC400033745,0.0
Soltu.DM.04G035310.6,PGSC0003DMC400009117,0.0
Soltu.DM.04G011130.1,PGSC0003DMC400057676,0.0
Soltu.DM.09G001530.1,PGSC0003DMC400041981,0.0
Soltu.DM.04G030960.1,PGSC0003DMC400016549,0.0
Soltu.DM.06G001200.2,PGSC0003DMC400019246,0.0
Soltu.DM.12G004250.1,PGSC0003DMC400050999,0.0
Soltu.DM.08G005430.1,PGSC0003DMC400036451,0.0
Soltu.DM.06G029910.1,PGSC0003DMC400066399,0.0
Soltu.DM.03G001540.1,PGSC0003DMC400027989,0.0
Soltu.DM.02G021370.2,PGSC0003DMC400030979,0.0
Soltu.DM.09G011070.1,PGSC0003DMC400060682,1e-161
Soltu.DM.04G010620.1,PGSC0003DMC400012158,3e-08
Soltu.DM.03G036020.1,PGSC0003DMC400004445,0.0
Soltu.DM.10G013540.1,PGSC0003DMC400008418,5e-29
Soltu.DM.08G007280.1,PGSC0003DMC400031216,0.0
Soltu.DM.09G026410.3,PGSC0003DMC400030122,0.0
Soltu.DM.12G027030.1,PGSC0003DMC400055645 Gene of unknown function,2e-75
Soltu.DM.03G033370.1,PGSC0003DMC400010182,0.0
Soltu.DM.03G036680.6,PGSC0003DMC400004588 Protein phosphatase 2C ABI2 homolog,0.0
Soltu.DM.11G019470.1,PGSC0003DMC400052248,3e-63
Soltu.DM.11G022570.2,PGSC0003DMC400014194,0.0
Soltu.DM.10G014950.6,PGSC0003DMC400044659,1e-59
Soltu.DM.02G007840.1,PGSC0003DMC400062328,0.0
Soltu.DM.08G020300.1,PGSC0003DMC400003531,0.0
Soltu.DM.11G019540.2,PGSC0003DMC400056025,5e-37
